title,date,adj close,volume,diff1_adj_close,target_1day,diff2_adj_close,target_2day,diff3_adj_close,target_3day,diff4_adj_close,target_4day,diff5_adj_close,target_5day,diff6_adj_close,target_6day,diff7_adj_close,target_7day,diff8_adj_close,target_8day,diff9_adj_close,target_9day,diff10_adj_close,target_10day,diff11_adj_close,target_11day,diff12_adj_close,target_12day,diff13_adj_close,target_13day,diff14_adj_close,target_14day
Mau Cuan? Deretan Saham Ini Diprediksi Bakal Tahan Banting,2020-07-28,7811.989745999999,16665100.0,95.85253900000043,1,239.6313480000008,1,95.85253900000043,1,95.85253900000043,1,95.85253900000043,1,95.85253900000043,1,71.89013700000032,1,200.08251999999993,1,127.24560600000041,1,78.6875,1,54.408691999999974,1,54.408691999999974,1,54.408691999999974,1,5.850585999999566,1
Waspada! IHSG Sesi II Bakal Nyusruk ke Level 5.090,2020-07-28,7811.989745999999,16665100.0,95.85253900000043,1,239.6313480000008,1,95.85253900000043,1,95.85253900000043,1,95.85253900000043,1,95.85253900000043,1,71.89013700000032,1,200.08251999999993,1,127.24560600000041,1,78.6875,1,54.408691999999974,1,54.408691999999974,1,54.408691999999974,1,5.850585999999566,1
"Gak Kuat Tekanan Jual Asing Rp 295 M, IHSG Tersungkur",2020-07-28,7811.989745999999,16665100.0,95.85253900000043,1,239.6313480000008,1,95.85253900000043,1,95.85253900000043,1,95.85253900000043,1,95.85253900000043,1,71.89013700000032,1,200.08251999999993,1,127.24560600000041,1,78.6875,1,54.408691999999974,1,54.408691999999974,1,54.408691999999974,1,5.850585999999566,1
"Asing Lepas Saham BBRI, BMRI & MNCN, IHSG Kini Merah!",2020-07-28,7811.989745999999,16665100.0,95.85253900000043,1,239.6313480000008,1,95.85253900000043,1,95.85253900000043,1,95.85253900000043,1,95.85253900000043,1,71.89013700000032,1,200.08251999999993,1,127.24560600000041,1,78.6875,1,54.408691999999974,1,54.408691999999974,1,54.408691999999974,1,5.850585999999566,1
"Diguyur Sentimen Positif, IHSG Menguat, BBCA & UNVR Diborong!",2020-07-28,7811.989745999999,16665100.0,95.85253900000043,1,239.6313480000008,1,95.85253900000043,1,95.85253900000043,1,95.85253900000043,1,95.85253900000043,1,71.89013700000032,1,200.08251999999993,1,127.24560600000041,1,78.6875,1,54.408691999999974,1,54.408691999999974,1,54.408691999999974,1,5.850585999999566,1
"Asing Kabur Rp 123 M, IHSG Terperosok ke Zona Merah",2020-07-28,7811.989745999999,16665100.0,95.85253900000043,1,239.6313480000008,1,95.85253900000043,1,95.85253900000043,1,95.85253900000043,1,95.85253900000043,1,71.89013700000032,1,200.08251999999993,1,127.24560600000041,1,78.6875,1,54.408691999999974,1,54.408691999999974,1,54.408691999999974,1,5.850585999999566,1
"IHSG Rentan di Bawah 5.000, Simak Deretan Saham Potensial Ini",2020-07-29,7907.842285,18793500.0,143.77880900000036,1,0.0,0,0.0,0,0.0,0,0.0,0,-23.96240200000011,0,104.2299809999995,1,31.393066999999974,1,-17.165039000000434,0,-41.44384700000046,0,-41.44384700000046,0,-41.44384700000046,0,-90.00195300000087,0,-90.00195300000087,0
"Kayaknya RI Gak Jadi Resesi, IHSG Bakal Rebound!",2020-07-29,7907.842285,18793500.0,143.77880900000036,1,0.0,0,0.0,0,0.0,0,0.0,0,-23.96240200000011,0,104.2299809999995,1,31.393066999999974,1,-17.165039000000434,0,-41.44384700000046,0,-41.44384700000046,0,-41.44384700000046,0,-90.00195300000087,0,-90.00195300000087,0
"Koreksi Wall Street Menular, IHSG Ambles, Asing Kabur Rp 28 M",2020-07-29,7907.842285,18793500.0,143.77880900000036,1,0.0,0,0.0,0,0.0,0,0.0,0,-23.96240200000011,0,104.2299809999995,1,31.393066999999974,1,-17.165039000000434,0,-41.44384700000046,0,-41.44384700000046,0,-41.44384700000046,0,-90.00195300000087,0,-90.00195300000087,0
"207 Saham Ambles, IHSG Merah! Asing Cabut Rp 197 M",2020-07-29,7907.842285,18793500.0,143.77880900000036,1,0.0,0,0.0,0,0.0,0,0.0,0,-23.96240200000011,0,104.2299809999995,1,31.393066999999974,1,-17.165039000000434,0,-41.44384700000046,0,-41.44384700000046,0,-41.44384700000046,0,-90.00195300000087,0,-90.00195300000087,0
Tekanan Belum Mereda! Siap-siap IHSG Bikin Kecewa di Sesi II,2020-07-29,7907.842285,18793500.0,143.77880900000036,1,0.0,0,0.0,0,0.0,0,0.0,0,-23.96240200000011,0,104.2299809999995,1,31.393066999999974,1,-17.165039000000434,0,-41.44384700000046,0,-41.44384700000046,0,-41.44384700000046,0,-90.00195300000087,0,-90.00195300000087,0
"IHSG Balik Arah Jadi Merah, Asing Lepas TOWR & BMRI",2020-07-29,7907.842285,18793500.0,143.77880900000036,1,0.0,0,0.0,0,0.0,0,0.0,0,-23.96240200000011,0,104.2299809999995,1,31.393066999999974,1,-17.165039000000434,0,-41.44384700000046,0,-41.44384700000046,0,-41.44384700000046,0,-90.00195300000087,0,-90.00195300000087,0
"Dahsyat! 5 Saham Ini Meroket Kemarin, Cuan Lagi Gak Hari Ini?",2020-07-29,7907.842285,18793500.0,143.77880900000036,1,0.0,0,0.0,0,0.0,0,0.0,0,-23.96240200000011,0,104.2299809999995,1,31.393066999999974,1,-17.165039000000434,0,-41.44384700000046,0,-41.44384700000046,0,-41.44384700000046,0,-90.00195300000087,0,-90.00195300000087,0
"Asing Kabur Rp 434 M Kemarin, 10 Saham Ini Ramai Dilepas!",2020-07-30,8051.621094,19708600.0,-143.77880900000036,0,-143.77880900000036,0,-143.77880900000036,0,-143.77880900000036,0,-167.74121100000048,0,-39.54882800000087,0,-112.38574200000039,0,-160.9438480000008,0,-185.22265600000082,0,-185.22265600000082,0,-185.22265600000082,0,-233.78076200000123,0,-233.78076200000123,0,-112.38574200000039,0
"Thanks Mr. Powell, Siap-siap IHSG Tembus 5.155 Hari Ini",2020-07-30,8051.621094,19708600.0,-143.77880900000036,0,-143.77880900000036,0,-143.77880900000036,0,-143.77880900000036,0,-167.74121100000048,0,-39.54882800000087,0,-112.38574200000039,0,-160.9438480000008,0,-185.22265600000082,0,-185.22265600000082,0,-185.22265600000082,0,-233.78076200000123,0,-233.78076200000123,0,-112.38574200000039,0
"Imbas PSBB, Laba Unilever Semester I Drop Jadi Rp 3,6 T",2020-07-30,8051.621094,19708600.0,-143.77880900000036,0,-143.77880900000036,0,-143.77880900000036,0,-143.77880900000036,0,-167.74121100000048,0,-39.54882800000087,0,-112.38574200000039,0,-160.9438480000008,0,-185.22265600000082,0,-185.22265600000082,0,-185.22265600000082,0,-233.78076200000123,0,-233.78076200000123,0,-112.38574200000039,0
"Asing Borong Saham Rp 103 M, IHSG Akhirnya Happy Weekend!",2020-07-30,8051.621094,19708600.0,-143.77880900000036,0,-143.77880900000036,0,-143.77880900000036,0,-143.77880900000036,0,-167.74121100000048,0,-39.54882800000087,0,-112.38574200000039,0,-160.9438480000008,0,-185.22265600000082,0,-185.22265600000082,0,-185.22265600000082,0,-233.78076200000123,0,-233.78076200000123,0,-112.38574200000039,0
"4 Emiten Ini Royal Bagi Dividen Lho, Masih Menarik Diborong?",2020-08-03,7907.842285,19125400.0,-23.96240200000011,0,104.2299809999995,1,31.393066999999974,1,-17.165039000000434,0,-41.44384700000046,0,-41.44384700000046,0,-41.44384700000046,0,-90.00195300000087,0,-90.00195300000087,0,31.393066999999974,1,55.67236300000059,1,79.95117199999913,1,79.95117199999913,1,79.95117199999913,1
"Awas Sesak Nafas, Perdagangan Hari Ini Butuh Oksigen Banyak",2020-08-03,7907.842285,19125400.0,-23.96240200000011,0,104.2299809999995,1,31.393066999999974,1,-17.165039000000434,0,-41.44384700000046,0,-41.44384700000046,0,-41.44384700000046,0,-90.00195300000087,0,-90.00195300000087,0,31.393066999999974,1,55.67236300000059,1,79.95117199999913,1,79.95117199999913,1,79.95117199999913,1
Siap Ngacir! Ini Dia 10 Saham yang Diborong Asing Sepekan,2020-08-03,7907.842285,19125400.0,-23.96240200000011,0,104.2299809999995,1,31.393066999999974,1,-17.165039000000434,0,-41.44384700000046,0,-41.44384700000046,0,-41.44384700000046,0,-90.00195300000087,0,-90.00195300000087,0,31.393066999999974,1,55.67236300000059,1,79.95117199999913,1,79.95117199999913,1,79.95117199999913,1
"Dianggap Sebagai 'Pembunuh Massal', Menperin Agus Curhat",2020-08-04,7883.879883,13251900.0,128.1923829999996,1,55.355469000000085,1,6.797362999999677,1,-17.48144500000035,0,-17.48144500000035,0,-17.48144500000035,0,-66.03955100000076,0,-66.03955100000076,0,55.355469000000085,1,79.6347650000007,1,103.91357399999924,1,103.91357399999924,1,103.91357399999924,1,103.91357399999924,1
"IHSG Siap Tembus 5.200, Boleh Dicek Saham-saham Pilihan Ini",2020-08-07,7890.677245999999,8987900.0,-24.278808000000026,0,-24.278808000000026,0,-24.278808000000026,0,-72.83691400000043,0,-72.83691400000043,0,48.55810600000041,1,72.83740200000102,1,97.11621099999957,1,97.11621099999957,1,97.11621099999957,1,97.11621099999957,1,72.83740200000102,1,48.55810600000041,1,48.55810600000041,1
"Ignasius Jonan Sebut 4 Bisnis Ini Laku Usai Corona, Apa Saja?",2020-08-08,7866.398437999999,7982000.0,0.0,0,0.0,0,-48.55810600000041,0,-48.55810600000041,0,72.83691400000043,1,97.11621000000105,1,121.39501899999959,1,121.39501899999959,1,121.39501899999959,1,121.39501899999959,1,97.11621000000105,1,72.83691400000043,1,72.83691400000043,1,72.83691400000043,1
"Kenyang Liburan, IHSG Dibuka Hijau tapi Galau",2020-08-24,7939.235352,8029000.0,24.279296000000613,1,24.279296000000613,1,72.83691399999952,1,72.83691399999952,1,48.55810499999916,1,48.55810499999916,1,48.55810499999916,1,48.55810499999916,1,-24.278808999998546,0,0.0,0,218.5107420000004,1,194.2324210000006,1,194.2324210000006,1,194.2324210000006,1
Akhir Pekan Nih! Cek Saham-saham Potensi Cuan Hari Ini,2020-08-28,8012.072265999999,13210800.0,-24.278809000000365,0,-24.278809000000365,0,-24.278809000000365,0,-24.278809000000365,0,-97.11572299999807,0,-72.83691399999952,0,145.67382800000087,1,121.39550700000109,1,121.39550700000109,1,121.39550700000109,1,121.39550700000109,1,0.0,0,-267.06884799999807,0,48.55810500000007,1
"Jerome Powell 'Suntik' Pasar, Asing Borong BMRI, KPIG & UNVR!",2020-08-28,8012.072265999999,13210800.0,-24.278809000000365,0,-24.278809000000365,0,-24.278809000000365,0,-24.278809000000365,0,-97.11572299999807,0,-72.83691399999952,0,145.67382800000087,1,121.39550700000109,1,121.39550700000109,1,121.39550700000109,1,121.39550700000109,1,0.0,0,-267.06884799999807,0,48.55810500000007,1
Welcome September! Simak Deretan Saham Potensi Cuan Hari Ini,2020-09-01,7987.793456999999,15367200.0,-72.8369139999977,0,-48.55810499999916,0,169.95263700000123,1,145.67431600000145,1,145.67431600000145,1,145.67431600000145,1,145.67431600000145,1,24.278809000000365,1,-242.7900389999977,0,72.83691400000043,1,-24.278808999998546,0,-24.278808999998546,0,-24.278808999998546,0,-121.39501899999959,0
"Pasar Masih Khawatirkan BI, IHSG Tutup Sesi 1 di Zona Merah",2020-09-03,7939.235352,9683100.0,218.5107420000004,1,194.2324210000006,1,194.2324210000006,1,194.2324210000006,1,194.2324210000006,1,72.83691399999952,1,-194.23193399999855,0,121.39501899999959,1,24.279296000000613,1,24.279296000000613,1,24.279296000000613,1,-72.83691400000043,0,-169.9526369999994,0,-97.11572299999898,0
Mau Beli Saham Saat Pandemi? Simak Dulu deh Saran JPMorgan,2020-09-03,7939.235352,9683100.0,218.5107420000004,1,194.2324210000006,1,194.2324210000006,1,194.2324210000006,1,194.2324210000006,1,72.83691399999952,1,-194.23193399999855,0,121.39501899999959,1,24.279296000000613,1,24.279296000000613,1,24.279296000000613,1,-72.83691400000043,0,-169.9526369999994,0,-97.11572299999898,0
"Asing Bawa Kabur Nyaris Rp 1 T, IHSG Menyerah di Zona Merah",2020-09-04,8157.746094,14782100.0,-24.278320999999778,0,-24.278320999999778,0,-24.278320999999778,0,-24.278320999999778,0,-145.67382800000087,0,-412.74267599999894,0,-97.1157230000008,0,-194.23144599999978,0,-194.23144599999978,0,-194.23144599999978,0,-291.3476560000008,0,-388.4633789999998,0,-315.62646499999937,0,-364.18505900000036,0
"Cuma Modal Rp 30 Juta, Anda Bisa Hijaukan IHSG Lho! Tapi...",2020-09-07,8133.467773,14396400.0,0.0,0,-121.39550700000109,0,-388.46435499999916,0,-72.83740200000102,0,-169.953125,0,-169.953125,0,-169.953125,0,-267.06933500000105,0,-364.185058,0,-291.3481439999996,0,-339.9067380000006,0,-364.185058,0,-364.185058,0,-364.185058,0
Siapkan Amunisi! Simak Deretan Saham Potensi Cuan Hari Ini,2020-09-07,8133.467773,14396400.0,0.0,0,-121.39550700000109,0,-388.46435499999916,0,-72.83740200000102,0,-169.953125,0,-169.953125,0,-169.953125,0,-267.06933500000105,0,-364.185058,0,-291.3481439999996,0,-339.9067380000006,0,-364.185058,0,-364.185058,0,-364.185058,0
"BCA Masih Kokoh di Puncak, Market Cap 5 Emiten Melesat!",2020-09-07,8133.467773,14396400.0,0.0,0,-121.39550700000109,0,-388.46435499999916,0,-72.83740200000102,0,-169.953125,0,-169.953125,0,-169.953125,0,-267.06933500000105,0,-364.185058,0,-291.3481439999996,0,-339.9067380000006,0,-364.185058,0,-364.185058,0,-364.185058,0
Was-was IHSG Jebol? Boleh Dicek Saham-saham Potensi Cuan Ini,2020-09-11,8060.630370999999,8948800.0,-97.11572299999898,0,-97.11572299999898,0,-97.11572299999898,0,-194.23193300000003,0,-291.347655999999,0,-218.51074199999857,0,-267.06933599999957,0,-291.347655999999,0,-291.347655999999,0,-291.347655999999,0,-339.9057619999985,0,-364.185058,0,-485.58007799999814,0,-364.185058,0
"Market Cap Emiten Big Cap Tergerus, tapi ICBP Bisa Bertahan",2020-09-14,7963.514648,17218200.0,-97.11621000000105,0,-194.23193300000003,0,-121.39501899999959,0,-169.9536130000006,0,-194.23193300000003,0,-194.23193300000003,0,-194.23193300000003,0,-242.79003899999952,0,-267.06933500000105,0,-388.46435499999916,0,-267.06933500000105,0,-291.3486320000011,0,-291.3486320000011,0,-291.3486320000011,0
